Course,University,Masters/Bachelors,Language,Course Duration,Course Link
INTERACTION DESIGN - L-4 R,Politecnico di MILANO,Magistrale,EN,2 years,http://www.digitalinteractiondesign.polimi.it/
CYBER RISK STRATEGY AND GOVERNANCE - LM-91 R,Università degli Studi di TRENTO,Magistrale,EN,2 years,https://corsi.unitn.it/en/european-and-international-studies
HUMAN-COMPUTER INTERACTION - LM-55 R,Università degli Studi di TRENTO,Magistrale,EN,2 years,https://corsi.unitn.it/it/management
GLOBAL STUDIES FOR SUSTAINABLE LOCAL AND INTERNATIONAL DEVELOPMENT AND COOPERATION - L-37 R,Università degli Studi di TRENTO,Magistrale,EN,2 years,https://corsi.unitn.it/en/european-master-business-studies
HUMAN-CENTERED ARTIFICIAL INTELLIGENCE - LM-55 R,Università degli Studi di SCIENZE GASTRONOMICHE,Magistrale,EN,2 years,https://www.unisg.it/corsi-iscrizioni/laurea-magistrale/
DATA SCIENCE - LM-DATA,Università degli Studi di MILANO-BICOCCA,Magistrale,EN,2 years,https://elearning.unimib.it/course/index.php?categoryid=9164
ECONOMICS AND POLITICAL SCIENCE - LM-56 R,"Università degli Studi di ROMA ""La Sapienza""",Magistrale,EN,2 years,https://corsidilaurea.uniroma1.it/it/course/33433
POLITICAL SCIENCE – INTEGRATION AND GOVERNANCE - LM-62 R,Università degli Studi di TRIESTE,Magistrale,EN,2 years,https://www.universitaly.it/#
APPLIED EXPERIMENTAL PSYCHOLOGICAL SCIENCES - LM-51 R,Università degli Studi di MILANO-BICOCCA,Magistrale,EN,2 years,http://didattica.unimib.it/F5109P
DATA SCIENCE - LM-DATA,Università degli Studi di VERONA,Magistrale,EN,2 years,https://www.corsi.univr.it/?ent=cs&id=1175
"ECONOMICS, MANAGEMENT AND COMPUTER SCIENCE - L-33 R","Università Commerciale ""Luigi Bocconi"" MILANO",Triennale,EN,3 years,https://www.unibocconi.it/en/programs/bachelor-science/economics-management-and-computer-science
INTERNATIONAL MANAGEMENT - LM-77 R,Università degli Studi di MODENA e REGGIO EMILIA,Magistrale,EN,2 years,https://www.economia.unimore.it/it/didattica/corsi-di-laurea-magistrale-informazioni-generali/international-management-im
FINANCE - LM-16 R,Università degli Studi di SIENA,Magistrale,EN,2 years,https://finance.unisi.it/it
DATA SCIENCE FOR ECONOMICS AND HEALTH - LM-DATA,Università degli Studi di MILANO,Magistrale,EN,2 years,https://dseh.cdl.unimi.it/en
BUSINESS ECONOMICS AND ORGANIZATION - L-18 R,"LUM ""Giuseppe Degennaro""",Triennale,EN,3 years,http://%20https//www.lum.it/laurea-in-business-economics-and-organization/
DIGITAL INTELLIGENCE AND CHANGE MANAGEMENT - LM-77 R,Università di PISA,Magistrale,EN,2 years,https://www.universitaly.it/#
LANGUAGES AND LITERATURES FOR THE EUROPEAN PLURILINGUALISM - LM-37 R,Università degli Studi di Napoli Federico II,Magistrale,EN,2 years,http://studiumanistici.dip.unina.it/it/didattica/corsi-di-laurea/
GLOBAL LAW - L-14 R,"Università Commerciale ""Luigi Bocconi"" MILANO",Triennale,EN,3 years,https://www.unibocconi.it/en/programs/law/bachelor-global-law
SECURITY AND HUMAN RIGHTS - LM-90 R,Università degli Studi della TUSCIA,Magistrale,EN,2 years,http://www.unitus.it/it/dipartimento/distu/corso-di-laurea-magistrale-in-security-and-human-rights-lm-90-/articolo/presentazione-corso
INNOVAZIONE E GESTIONE DEGLI ALIMENTI E DELLE BEVANDE - LM-70 R,Università Politecnica delle MARCHE,Magistrale,EN,2 years,https://www.d3a.univpm.it/lm_fabiam.2526
DIGITAL TRANSFORMATION MANAGEMENT - LM-91 R,Alma Mater Studiorum - Università di BOLOGNA,Magistrale,EN,2 years,https://corsi.unibo.it/2cycle/DigitalTransformationManagement
MARKETING MANAGEMENT - LM-77 R,"Università Commerciale ""Luigi Bocconi"" MILANO",Magistrale,EN,2 years,https://www.unibocconi.it/en/programs/master-science/marketing-management
ECONOMICS AND SCIENCE FOR ENVIRONMENTAL SUSTAINABILITY - L-33 R,Università degli Studi di MILANO-BICOCCA,Triennale,EN,3 years,https://www.unimib.it/didattica/offerta-formativa/corsi-laurea-iscrizioni/area-economico-statistica-laurea-triennale
ACCOUNTING AND FINANCIAL MANAGEMENT - LM-77 R,"Università Commerciale ""Luigi Bocconi"" MILANO",Magistrale,EN,2 years,https://www.unibocconi.it/en/programs/master-science/accounting-and-financial-management
STRATEGIC COMMUNICATION - LM-59 R,Libera Università di lingue e comunicazione IULM-MI,Magistrale,EN,2 years,https://www.iulm.it/it/offerta-formativa/corsi-di-lauree-magistrali/strategic-communication/strategic-communication
ECONOMICS AND DEVELOPMENT - LM-56 R,Università degli Studi di FIRENZE,Magistrale,EN,2 years,http://www.economicsanddevelopment.unifi.it/
EUROPEAN AND GLOBAL STUDIES - LM-90 R,Università degli Studi di PADOVA,Magistrale,EN,2 years,https://www.unipd.it/offerta-didattica/corso-di-laurea-magistrale/economia-e-scienze-politiche?ordinamento=2025&key=EP2901&tipo=LM&scuola=EP
DESIGN OF SUSTAINABLE TOURISM SYSTEMS - LM-49 R,Università degli Studi di FIRENZE,Magistrale,EN,2 years,http://www.dsts.unifi.it/
DIGITAL ECONOMICS AND BUSINESS - L-33 R,Università Politecnica delle MARCHE,Triennale,EN,3 years,https://www.econ.univpm.it/ET07
GLOBAL CULTURES - LM-84 R,Alma Mater Studiorum - Università di BOLOGNA,Magistrale,EN,2 years,https://corsi.unibo.it/2cycle/GlobalCultures/
COGNITIVE PSYCHOLOGY IN HEALTH COMMUNICATION - LM-51 R,UNISR - Università Vita Salute San Raffaele,Magistrale,EN,2 years,https://www.unisr.it/offerta-formativa/psicologia/corso-di-laurea-magistrale-cognitive-psychology-in-health-communication
LANGUAGE AND MIND: LINGUISTICS AND COGNITIVE STUDIES - LM-39,Università degli Studi di SIENA,Magistrale,EN,2 years,https://language-mind.unisi.it/
GLOBAL DEVELOPMENT AND ENTREPRENEURSHIP - LM-56 R,"Università ""Ca' Foscari"" VENEZIA",Magistrale,EN,2 years,http://www.unive.it/cdl/emr12
DATA ANALYTICS - L-41 R,"Università degli Studi della Campania ""Luigi Vanvitelli""",Triennale,EN,3 years,http://www.matfis.unicampania.it/didattica/corsi-di-studio/data-analytics
DATA SCIENCE - LM-DATA,"Università degli Studi di ROMA ""La Sapienza""",Magistrale,EN,2 years,https://corsidilaurea.uniroma1.it/it/course/33519
"CONSUMER BEHAVIOUR: PSYCHOLOGY APPLIED TO FOOD, HEALTH AND ENVIRONMENT - LM-51 R",Università Cattolica del Sacro Cuore,Magistrale,EN,2 years,https://www.unicatt.it/corsi/magistrale/consumer-behaviour-psychology-applied-to-food-health-and-environment-cremona.html
ECONOMICS AND COMMUNICATION FOR MANAGEMENT AND INNOVATION - LM-77 R,"Università degli Studi di ROMA ""La Sapienza""",Magistrale,EN,2 years,https://corsidilaurea.uniroma1.it/it/course/33444
ELECTRONIC AND COMMUNICATIONS ENGINEERING - L-8 R,Politecnico di TORINO,Triennale,EN,3 years,https://www.polito.it/corsi/37-474
COMPUTING SYSTEMS ENGINEERING - LM-32,Università degli Studi dell'AQUILA,Magistrale,EN,2 years,https://www.disim.univaq.it/degree.php?section=single-0A01&degree_id=18
DESIGN FOR THE FASHION SYSTEM - LM-12 R,Politecnico di MILANO,Magistrale,EN,2 years,http://www.moda.polimi.it/
DATA SCIENCE AND ARTIFICIAL INTELLIGENCE - LM-DATA,Università degli Studi di TRIESTE,Magistrale,EN,2 years,https://degree.units.it/2-data-science-ai
COGNITIVE SCIENCE - LM-55 R,Università degli Studi di TRENTO,Magistrale,EN,2 years,https://corsi.unitn.it/en/cognitive-science
"TECHNIQUES, HERITAGE, INDUSTRIAL LANDSCAPES - LM-84 R",Università degli Studi di PADOVA,Magistrale,EN,2 years,https://www.unipd.it/offerta-didattica/corso-di-laurea-magistrale/scienze-umane-sociali-e-del-patrimonio-culturale?ordinamento=2025&key=SU3043&tipo=LM&scuola=SU
DISASTER AND HEALTH CRISIS MANAGEMENT - LM-81 R,Università degli Studi del PIEMONTE ORIENTALE,Magistrale,EN,2 years,https://disste.uniupo.it/en/university-studies/course/disaster-health-crisis-management-ay-20252026
BUSINESS (WORLD BACHELOR IN BUSINESS) - L-18 R,"Università Commerciale ""Luigi Bocconi"" MILANO",Triennale,EN,3 years,https://www.unibocconi.it/en/programs/bachelor-science/world-bachelor-business
COMPUTER SCIENCE - LM-18,Università degli Studi dell'AQUILA,Magistrale,EN,2 years,https://www.disim.univaq.it/degree.php?section=single-0A01&degree_id=9
MATHEMATICS - LM-40 R,Università degli Studi di TRENTO,Magistrale,EN,2 years,https://corsi.unitn.it/it/matematica-magistrale
MEDICINE AND SURGERY - LM-41 R,UniCamillus - Saint Camillus International University of Health Sciences,unico,EN,6 years,https://www.unicamillus.org/it/corsi-di-laurea-magistrale-in-medicina-e-chirurgia/
MEDICINE AND SURGERY - LM-41 R,HUMANITAS University,unico,EN,6 years,https://www.universitaly.it/#
MEDICINE AND SURGERY - LM-41 R,HUMANITAS University,unico,EN,6 years,https://www.universitaly.it/#
HEALTH AND PHYSICAL ACTIVITY - LM-67 R,"Università degli Studi di ROMA ""Foro Italico""",Magistrale,EN,2 years,https://www.uniroma4.it/index.php/corsi/laurea-magistrale-in-attivita-fisica-e-salute-classe-lm67int/
MEDICINE AND SURGERY - LM-41 R,Università degli Studi di MILANO,unico,EN,6 years,https://ims.cdl.unimi.it/
